ESGID,CompanyID,PeriodID,EnvironmentalScore,SocialScore,GovernanceScore
1,CMP0001,1,41.24,88.19,79.95
2,CMP0001,2,61.98,57.36,77.11
3,CMP0001,3,58.28,35.86,71.05
4,CMP0001,4,86.51,86.37,83.69
5,CMP0001,5,48.46,78.13,34.47
6,CMP0001,6,77.4,49.85,33.81
7,CMP0001,7,86.26,59.63,61.36
8,CMP0001,8,85.33,43.73,34.62
9,CMP0001,9,88.45,83.77,49.08
10,CMP0001,10,60.26,86.57,49.39
11,CMP0001,11,43.09,46.72,84.5
12,CMP0001,12,72.15,35.42,80.12
13,CMP0001,13,81.46,53.2,86.2
14,CMP0001,14,93.83,84.03,67.99
15,CMP0001,15,46.09,69.81,30.3
16,CMP0001,16,90.95,69.46,64.1
17,CMP0001,17,51.71,73.35,46.85
18,CMP0001,18,91.18,47.67,53.11
19,CMP0001,19,48.41,61.1,82.64
20,CMP0001,20,70.09,77.9,69.0
21,CMP0001,21,57.19,65.45,31.83
22,CMP0001,22,71.88,62.44,68.25
23,CMP0001,23,90.16,71.76,54.54
24,CMP0001,24,76.7,55.18,44.86
25,CMP0001,25,63.91,66.95,68.11
26,CMP0001,26,75.15,86.41,64.53
27,CMP0001,27,46.05,31.09,35.67
28,CMP0001,28,88.21,46.92,40.65
29,CMP0001,29,85.05,75.27,36.19
30,CMP0001,30,97.0,87.04,64.41
31,CMP0001,31,43.45,62.97,56.49
32,CMP0001,32,89.31,72.37,34.88
33,CMP0001,33,86.63,63.5,55.45
34,CMP0001,34,75.0,87.73,52.49
35,CMP0001,35,77.76,71.74,57.27
36,CMP0001,36,44.66,88.46,89.17
37,CMP0001,37,76.8,55.09,85.96
38,CMP0001,38,90.53,80.3,58.12
39,CMP0001,39,90.98,44.84,57.03
40,CMP0001,40,86.34,61.21,81.13
41,CMP0001,41,48.18,30.87,51.04
42,CMP0001,42,96.97,38.82,85.6
43,CMP0001,43,47.68,39.11,38.33
44,CMP0001,44,56.72,40.62,35.32
45,CMP0001,45,92.41,85.25,33.66
46,CMP0001,46,84.85,32.2,45.15
47,CMP0001,47,41.2,49.32,42.69
48,CMP0001,48,84.73,55.9,37.65
49,CMP0001,49,54.76,39.64,41.19
