EmployeeSnapshotID,CompanyID,PeriodID,EmployeeCount,AvgSalary
1,CMP0001,1,1181,46.36
2,CMP0001,2,627,76.28
3,CMP0001,3,3040,40.98
4,CMP0001,4,3321,112.97
5,CMP0001,5,1325,99.5
6,CMP0001,6,907,59.27
7,CMP0001,7,3603,32.29
8,CMP0001,8,550,44.51
9,CMP0001,9,1858,50.51
10,CMP0001,10,2584,93.27
11,CMP0001,11,1248,43.04
12,CMP0001,12,2002,46.79
13,CMP0001,13,199,60.7
14,CMP0001,14,639,61.43
15,CMP0001,15,1810,79.39
16,CMP0001,16,1304,63.09
17,CMP0001,17,368,88.09
18,CMP0001,18,1890,58.52
19,CMP0001,19,1618,92.73
20,CMP0001,20,5249,101.62
21,CMP0001,21,1197,104.03
22,CMP0001,22,2955,117.83
23,CMP0001,23,1383,44.08
24,CMP0001,24,1210,98.21
25,CMP0001,25,90,63.72
26,CMP0001,26,2896,87.9
27,CMP0001,27,3469,36.41
28,CMP0001,28,2738,102.62
29,CMP0001,29,9041,75.47
30,CMP0001,30,5584,70.36
31,CMP0001,31,2953,61.58
32,CMP0001,32,284,118.8
33,CMP0001,33,3714,40.01
34,CMP0001,34,1850,108.17
35,CMP0001,35,1745,82.59
36,CMP0001,36,6600,78.25
37,CMP0001,37,3026,34.07
38,CMP0001,38,355,54.61
39,CMP0001,39,224,115.86
40,CMP0001,40,3735,80.48
41,CMP0001,41,5570,65.3
42,CMP0001,42,2528,53.24
43,CMP0001,43,3290,46.37
44,CMP0001,44,789,71.47
45,CMP0001,45,859,102.56
46,CMP0001,46,5646,110.57
47,CMP0001,47,2116,40.78
48,CMP0001,48,3184,62.68
49,CMP0001,49,2366,45.6
50,CMP0001,50,2289,90.18
51,CMP0001,51,6060,55.98
52,CMP0001,52,1982,91.34
53,CMP0001,53,2032,35.98
54,CMP0001,54,3189,108.95
55,CMP0001,55,2491,111.58
56,CMP0001,56,2081,96.96
57,CMP0001,57,192,50.63
58,CMP0001,58,3797,115.26
59,CMP0001,59,464,81.87
60,CMP0001,60,5530,76.7
61,CMP0002,1,2522,96.38
62,CMP0002,2,536,89.72
63,CMP0002,3,595,33.29
64,CMP0002,4,4365,115.15
65,CMP0002,5,2852,31.77
66,CMP0002,6,1044,48.45
67,CMP0002,7,1539,79.68
68,CMP0002,8,1587,78.75
69,CMP0002,9,4034,54.66
70,CMP0002,10,1486,112.3
71,CMP0002,11,1881,94.71
72,CMP0002,12,1817,83.72
73,CMP0002,13,2665,54.49
74,CMP0002,14,5044,89.29
75,CMP0002,15,4325,112.39
76,CMP0002,16,110,83.66
77,CMP0002,17,1757,50.97
78,CMP0002,18,649,118.57
79,CMP0002,19,905,118.9
80,CMP0002,20,2976,45.03
81,CMP0002,21,9640,109.54
82,CMP0002,22,1698,108.97
83,CMP0002,23,901,91.49
84,CMP0002,24,1000,89.26
85,CMP0002,25,1084,104.32
86,CMP0002,26,1153,53.38
87,CMP0002,27,6155,91.91
88,CMP0002,28,887,41.71
89,CMP0002,29,6281,92.43
90,CMP0002,30,1189,54.68
91,CMP0002,31,2629,108.18
92,CMP0002,32,1619,41.27
93,CMP0002,33,1159,65.32
94,CMP0002,34,1155,74.9
95,CMP0002,35,1398,81.08
96,CMP0002,36,5204,108.39
97,CMP0002,37,5524,37.35
98,CMP0002,38,644,94.73
99,CMP0002,39,1290,61.13
100,CMP0002,40,3707,48.96
101,CMP0002,41,3485,52.25
102,CMP0002,42,6984,41.78
103,CMP0002,43,7150,45.03
104,CMP0002,44,1210,114.29
105,CMP0002,45,836,87.52
106,CMP0002,46,8508,38.45
107,CMP0002,47,4227,32.73
108,CMP0002,48,9152,66.62
109,CMP0002,49,4316,103.61
110,CMP0002,50,500,36.59
111,CMP0002,51,2860,82.22
112,CMP0002,52,1777,113.43
113,CMP0002,53,696,94.45
114,CMP0002,54,2987,73.52
115,CMP0002,55,3833,105.59
116,CMP0002,56,5683,45.12
117,CMP0002,57,4103,118.9
118,CMP0002,58,623,37.15
119,CMP0002,59,901,77.97
120,CMP0002,60,923,92.1
