RecordID,CompanyID,PeriodID,Revenue,OperatingCost,NetProfit,Assets,Liabilities
1,CMP0001,1,540.9,345.63,195.26999999999998,689.92,515.0
2,CMP0001,2,481.02,340.56,140.45999999999998,759.34,489.58
3,CMP0001,3,1270.52,816.48,454.03999999999996,1632.07,1272.29
4,CMP0001,4,1297.68,879.73,417.95000000000005,2434.56,1506.22
5,CMP0001,5,186.96,124.86,62.10000000000001,425.77,231.07
6,CMP0001,6,625.27,495.73,129.53999999999996,810.51,440.42
7,CMP0001,7,1858.47,1334.48,523.99,2519.11,1726.34
8,CMP0001,8,312.96,212.37,100.58999999999997,582.46,444.43
9,CMP0001,9,2147.2,1756.12,391.0799999999999,4819.98,2287.7
10,CMP0001,10,992.48,597.21,395.27,1849.95,1048.86
11,CMP0001,11,786.49,531.05,255.44000000000005,1235.02,512.23
12,CMP0001,12,1383.08,912.02,471.05999999999995,2969.03,1624.4
13,CMP0001,13,268.34,162.12,106.21999999999997,500.65,245.62
14,CMP0001,14,392.62,315.79,76.82999999999998,754.52,461.66
15,CMP0001,15,1753.42,1088.94,664.48,2472.53,1877.69
16,CMP0001,16,909.04,707.27,201.76999999999998,1371.22,726.97
17,CMP0001,17,763.07,578.24,184.83000000000004,1704.13,1024.28
18,CMP0001,18,407.25,245.92,161.33,980.18,559.95
19,CMP0001,19,511.94,396.25,115.69,993.72,436.11
20,CMP0001,20,841.75,675.37,166.38,1896.59,1416.43
21,CMP0001,21,1171.73,730.57,441.15999999999997,2286.94,947.66
22,CMP0001,22,799.49,633.59,165.89999999999998,1183.7,768.41
23,CMP0001,23,1420.83,948.7,472.1299999999999,2515.81,1085.28
24,CMP0001,24,880.25,673.43,206.82000000000005,1376.64,1076.46
25,CMP0001,25,118.28,73.86,44.42,217.53,128.21
26,CMP0001,26,1738.98,1329.75,409.23,2455.12,1051.35
27,CMP0001,27,1170.69,815.42,355.2700000000001,2867.66,2185.56
28,CMP0001,28,581.22,365.9,215.32000000000005,1223.91,797.47
29,CMP0001,29,919.03,729.8,189.23000000000002,1510.01,1166.19
30,CMP0001,30,2011.98,1402.95,609.03,2442.72,1861.73
31,CMP0001,31,894.63,705.05,189.58000000000004,1994.18,1427.53
32,CMP0001,32,362.37,273.43,88.94,482.48,209.22
33,CMP0001,33,1092.01,913.81,178.20000000000005,2710.15,1900.77
34,CMP0001,34,1030.23,632.64,397.59000000000003,1395.41,623.76
35,CMP0001,35,535.8,454.49,81.30999999999995,694.36,431.57
36,CMP0001,36,3002.71,2009.85,992.8600000000001,4337.59,2539.57
37,CMP0001,37,806.05,516.4,289.65,1921.79,1401.01
38,CMP0001,38,203.21,172.08,31.129999999999995,283.59,180.83
39,CMP0001,39,223.23,189.73,33.5,557.1,346.61
40,CMP0001,40,1518.96,1146.1,372.8600000000001,2530.0,1126.92
41,CMP0001,41,1225.15,743.91,481.2400000000001,2672.88,1732.36
42,CMP0001,42,855.94,623.55,232.3900000000001,1899.12,1060.88
43,CMP0001,43,970.55,662.1,308.44999999999993,1963.83,974.17
44,CMP0001,44,742.54,569.45,173.08999999999992,1057.39,504.29
45,CMP0001,45,500.52,386.7,113.82,626.2,450.72
46,CMP0001,46,1279.52,886.22,393.29999999999995,2341.37,1515.57
47,CMP0001,47,759.45,540.62,218.83000000000004,1437.19,714.27
48,CMP0001,48,2699.01,2151.9,547.1100000000001,4987.7,2168.49
49,CMP0001,49,565.23,478.54,86.69,1123.4,555.96
50,CMP0001,50,1830.11,1285.83,544.28,4533.35,2016.5
51,CMP0001,51,3009.55,2016.38,993.1700000000001,6622.04,3144.26
52,CMP0001,52,1180.48,865.47,315.01,1496.11,799.88
53,CMP0001,53,1209.29,850.08,359.2099999999999,1999.6,1543.31
54,CMP0001,54,2036.48,1293.05,743.4300000000001,4549.19,2186.57
55,CMP0001,55,782.19,543.02,239.17000000000007,1409.1,733.51
56,CMP0001,56,715.59,454.27,261.32000000000005,1597.36,1035.14
57,CMP0001,57,237.86,194.85,43.01000000000002,391.21,285.0
58,CMP0001,58,1856.37,1435.88,420.4899999999998,3537.39,1771.24
59,CMP0001,59,412.56,310.6,101.95999999999998,504.78,378.0
60,CMP0001,60,1851.52,1543.41,308.1099999999999,4449.65,2582.29
61,CMP0002,1,1007.58,688.98,318.6,2260.72,908.48
62,CMP0002,2,884.51,561.85,322.65999999999997,1264.23,757.71
63,CMP0002,3,333.2,282.96,50.24000000000001,617.37,393.98
64,CMP0002,4,783.73,622.19,161.53999999999996,1402.31,855.07
65,CMP0002,5,1011.58,710.31,301.2700000000001,1247.28,576.82
66,CMP0002,6,250.94,191.51,59.43000000000001,378.83,166.6
67,CMP0002,7,327.88,269.9,57.98000000000002,741.89,398.19
68,CMP0002,8,987.43,780.96,206.4699999999999,1364.77,1020.01
69,CMP0002,9,1060.02,857.27,202.75,2628.56,1604.15
70,CMP0002,10,1508.9,983.21,525.69,1832.25,833.22
71,CMP0002,11,998.74,610.97,387.77,1414.38,983.3
72,CMP0002,12,475.26,364.01,111.25,1149.12,796.37
73,CMP0002,13,657.4,406.79,250.60999999999996,1411.2,844.17
74,CMP0002,14,954.99,792.0,162.99,1315.85,1026.49
75,CMP0002,15,1222.67,883.2,339.47,1818.81,1446.08
76,CMP0002,16,111.15,92.38,18.77000000000001,273.69,212.85
77,CMP0002,17,369.07,288.31,80.75999999999999,474.24,249.51
78,CMP0002,18,149.97,125.19,24.78,335.7,268.28
79,CMP0002,19,772.77,606.16,166.61,1167.2,518.46
80,CMP0002,20,1337.34,875.37,461.9699999999999,3256.36,2326.79
81,CMP0002,21,2677.61,1949.76,727.8500000000001,4016.07,1890.01
82,CMP0002,22,2656.53,2056.17,600.3600000000001,3719.31,2701.46
83,CMP0002,23,703.23,518.78,184.45000000000005,923.4,520.23
84,CMP0002,24,243.44,175.31,68.13,479.61,350.05
85,CMP0002,25,1924.93,1557.76,367.1700000000001,4055.27,2725.37
86,CMP0002,26,469.67,300.68,168.99,1063.03,779.05
87,CMP0002,27,1889.78,1184.41,705.3699999999999,4137.36,2550.71
88,CMP0002,28,302.61,186.66,115.95000000000002,592.15,318.79
89,CMP0002,29,1480.13,1173.15,306.98,3090.93,1787.67
90,CMP0002,30,557.46,425.69,131.77000000000004,866.98,676.54
91,CMP0002,31,2500.09,1643.78,856.3100000000002,3692.72,1523.08
92,CMP0002,32,1844.84,1457.9,386.9399999999998,3715.67,1681.33
93,CMP0002,33,831.05,600.76,230.28999999999996,1066.63,674.95
94,CMP0002,34,531.07,410.91,120.16000000000003,1231.1,876.47
95,CMP0002,35,1475.19,888.72,586.47,2396.3,1454.76
96,CMP0002,36,1168.38,749.95,418.43000000000006,1560.88,1021.71
97,CMP0002,37,1203.52,967.28,236.24,1569.57,1189.62
98,CMP0002,38,172.72,141.28,31.439999999999998,256.49,202.72
99,CMP0002,39,353.36,272.11,81.25,457.2,188.49
100,CMP0002,40,859.18,609.72,249.45999999999992,1841.08,1094.83
101,CMP0002,41,1813.83,1147.96,665.8699999999999,3864.5,2950.98
102,CMP0002,42,2160.59,1490.39,670.2,4258.17,1981.79
103,CMP0002,43,1035.89,640.57,395.32000000000005,1471.67,894.64
104,CMP0002,44,378.1,306.66,71.44,849.73,538.85
105,CMP0002,45,167.89,139.93,27.95999999999998,270.47,163.06
106,CMP0002,46,2272.71,1641.38,631.3299999999999,4697.52,2141.41
107,CMP0002,47,1821.54,1173.6,647.94,3825.99,2813.04
108,CMP0002,48,2488.61,1627.35,861.2600000000002,5117.95,2853.49
109,CMP0002,49,1933.7,1517.2,416.5,4528.86,2543.66
110,CMP0002,50,311.35,212.07,99.28000000000003,521.95,291.49
111,CMP0002,51,1654.05,1184.09,469.96000000000004,2801.5,2088.05
112,CMP0002,52,1576.4,1266.24,310.1600000000001,3363.34,2630.84
113,CMP0002,53,202.35,126.54,75.80999999999999,370.63,186.32
114,CMP0002,54,435.84,281.24,154.59999999999997,908.92,429.53
115,CMP0002,55,1348.03,1022.19,325.8399999999999,3284.91,2104.46
116,CMP0002,56,1134.61,902.16,232.44999999999993,1766.87,1288.13
117,CMP0002,57,1340.71,836.51,504.20000000000005,1650.05,1083.73
118,CMP0002,58,272.62,192.76,79.86000000000001,581.46,393.63
119,CMP0002,59,175.98,121.21,54.769999999999996,227.06,137.97
120,CMP0002,60,980.02,831.58,148.43999999999994,2019.22,1258.2
121,CMP0003,1,349.53,249.07,100.45999999999998,763.03,411.3
122,CMP0003,2,2538.68,1853.84,684.8399999999999,5104.43,2223.74
123,CMP0003,3,473.16,394.73,78.43,908.44,474.4
124,CMP0003,4,1759.88,1223.39,536.49,4120.52,3078.95
125,CMP0003,5,769.08,619.59,149.49,1055.39,786.06
126,CMP0003,6,308.97,187.38,121.59000000000003,425.06,333.78
127,CMP0003,7,1531.06,1167.51,363.54999999999995,2139.86,908.46
128,CMP0003,8,452.41,349.73,102.68,579.53,349.9
129,CMP0003,9,334.92,217.25,117.67000000000002,562.02,317.91
130,CMP0003,10,496.36,364.24,132.12,734.49,297.36
131,CMP0003,11,618.53,421.32,197.20999999999998,1335.14,788.28
132,CMP0003,12,572.23,379.77,192.46000000000004,1312.2,545.05
133,CMP0003,13,145.64,114.23,31.409999999999982,271.75,182.64
134,CMP0003,14,894.55,614.94,279.6099999999999,1974.32,1312.03
135,CMP0003,15,302.78,210.58,92.19999999999996,444.3,199.29
136,CMP0003,16,667.59,497.76,169.83000000000004,1450.34,1051.07
137,CMP0003,17,1097.38,724.46,372.9200000000001,1490.19,713.78
138,CMP0003,18,536.04,434.46,101.57999999999998,1150.9,817.81
139,CMP0003,19,435.69,284.67,151.01999999999998,809.34,595.9
140,CMP0003,20,2440.04,1561.67,878.3699999999999,4392.13,1773.25
141,CMP0003,21,1404.01,908.4,495.61,2333.46,1664.96
142,CMP0003,22,586.33,396.59,189.74000000000007,1371.8,1095.43
143,CMP0003,23,1919.21,1196.14,723.0699999999999,3770.6,2233.66
144,CMP0003,24,2009.98,1456.36,553.6200000000001,2613.33,1106.54
145,CMP0003,25,540.52,354.12,186.39999999999998,1068.98,742.16
146,CMP0003,26,780.69,580.03,200.66000000000008,1533.35,726.49
147,CMP0003,27,874.45,708.73,165.72000000000003,1260.9,909.18
148,CMP0003,28,1217.59,916.31,301.28,1675.36,1173.67
149,CMP0003,29,1362.62,1076.26,286.3599999999999,2431.82,1728.26
