RnDID,CompanyID,PeriodID,RnDSpending
1,CMP0001,1,9.41
2,CMP0001,2,0.19
3,CMP0001,3,9.1
4,CMP0001,4,4.05
5,CMP0001,5,0.56
6,CMP0001,6,7.0
7,CMP0001,7,17.07
8,CMP0001,8,2.59
9,CMP0001,9,29.47
10,CMP0001,10,10.3
11,CMP0001,11,1.29
12,CMP0001,12,14.17
13,CMP0001,13,2.55
14,CMP0001,14,1.21
15,CMP0001,15,23.8
16,CMP0001,16,18.79
17,CMP0001,17,5.32
18,CMP0001,18,5.92
19,CMP0001,19,4.42
20,CMP0001,20,7.62
21,CMP0001,21,4.47
22,CMP0001,22,3.62
23,CMP0001,23,7.41
24,CMP0001,24,6.92
25,CMP0001,25,2.47
26,CMP0001,26,12.96
27,CMP0001,27,10.05
28,CMP0001,28,10.06
29,CMP0001,29,7.72
30,CMP0001,30,14.11
31,CMP0001,31,2.64
32,CMP0001,32,2.32
33,CMP0001,33,6.18
34,CMP0001,34,8.86
35,CMP0001,35,7.83
36,CMP0001,36,10.8
37,CMP0001,37,10.22
38,CMP0001,38,1.15
39,CMP0001,39,2.38
40,CMP0001,40,5.48
41,CMP0001,41,15.28
42,CMP0001,42,12.65
43,CMP0001,43,11.68
44,CMP0001,44,11.18
45,CMP0001,45,-0.7
46,CMP0001,46,10.84
47,CMP0001,47,11.15
48,CMP0001,48,25.82
49,CMP0001,49,19.52
50,CMP0001,50,10.54
51,CMP0001,51,33.77
52,CMP0001,52,4.75
53,CMP0001,53,34.24
54,CMP0001,54,17.0
55,CMP0001,55,13.96
56,CMP0001,56,20.22
57,CMP0001,57,1.97
58,CMP0001,58,24.7
59,CMP0001,59,9.09
60,CMP0001,60,9.33
61,CMP0002,1,11.42
62,CMP0002,2,2.38
63,CMP0002,3,4.02
64,CMP0002,4,10.5
65,CMP0002,5,2.73
66,CMP0002,6,3.71
67,CMP0002,7,12.37
68,CMP0002,8,8.84
69,CMP0002,9,10.31
70,CMP0002,10,14.25
71,CMP0002,11,-1.66
72,CMP0002,12,15.39
73,CMP0002,13,8.24
74,CMP0002,14,10.7
75,CMP0002,15,18.63
76,CMP0002,16,2.51
77,CMP0002,17,8.8
78,CMP0002,18,2.24
79,CMP0002,19,1.88
80,CMP0002,20,4.57
81,CMP0002,21,35.91
82,CMP0002,22,13.31
83,CMP0002,23,9.32
84,CMP0002,24,3.9
85,CMP0002,25,23.3
86,CMP0002,26,2.04
87,CMP0002,27,14.44
88,CMP0002,28,1.11
89,CMP0002,29,-0.27
90,CMP0002,30,3.73
91,CMP0002,31,17.66
92,CMP0002,32,19.28
93,CMP0002,33,11.81
94,CMP0002,34,13.97
95,CMP0002,35,24.1
96,CMP0002,36,18.14
97,CMP0002,37,22.5
98,CMP0002,38,1.63
99,CMP0002,39,6.85
100,CMP0002,40,12.26
101,CMP0002,41,17.82
102,CMP0002,42,-7.44
103,CMP0002,43,16.78
104,CMP0002,44,8.53
105,CMP0002,45,0.84
106,CMP0002,46,-7.84
107,CMP0002,47,12.65
108,CMP0002,48,29.78
109,CMP0002,49,30.13
110,CMP0002,50,3.31
111,CMP0002,51,22.03
112,CMP0002,52,14.28
113,CMP0002,53,2.74
114,CMP0002,54,5.49
115,CMP0002,55,16.83
116,CMP0002,56,11.83
117,CMP0002,57,18.4
118,CMP0002,58,6.54
119,CMP0002,59,1.69
120,CMP0002,60,2.83
121,CMP0003,1,5.01
122,CMP0003,2,19.93
123,CMP0003,3,5.28
124,CMP0003,4,16.33
125,CMP0003,5,8.22
126,CMP0003,6,3.43
127,CMP0003,7,4.73
128,CMP0003,8,4.71
129,CMP0003,9,5.21
130,CMP0003,10,7.1
131,CMP0003,11,9.44
132,CMP0003,12,13.38
133,CMP0003,13,2.34
134,CMP0003,14,7.72
135,CMP0003,15,4.24
136,CMP0003,16,7.45
137,CMP0003,17,10.04
138,CMP0003,18,10.45
139,CMP0003,19,4.52
140,CMP0003,20,23.51
141,CMP0003,21,19.9
142,CMP0003,22,6.24
143,CMP0003,23,10.14
144,CMP0003,24,11.8
145,CMP0003,25,6.75
146,CMP0003,26,13.57
147,CMP0003,27,6.03
148,CMP0003,28,18.34
149,CMP0003,29,9.81
150,CMP0003,30,7.57
151,CMP0003,31,7.54
152,CMP0003,32,12.02
153,CMP0003,33,34.38
154,CMP0003,34,3.09
155,CMP0003,35,0.96
156,CMP0003,36,7.29
157,CMP0003,37,21.46
158,CMP0003,38,30.31
159,CMP0003,39,12.94
160,CMP0003,40,11.56
161,CMP0003,41,15.56
162,CMP0003,42,2.02
163,CMP0003,43,17.89
164,CMP0003,44,7.86
165,CMP0003,45,10.91
166,CMP0003,46,5.77
167,CMP0003,47,12.34
168,CMP0003,48,25.14
169,CMP0003,49,17.03
170,CMP0003,50,0.8
171,CMP0003,51,4.95
172,CMP0003,52,5.33
173,CMP0003,53,8.2
174,CMP0003,54,3.09
175,CMP0003,55,29.82
176,CMP0003,56,2.39
177,CMP0003,57,19.06
178,CMP0003,58,1.16
179,CMP0003,59,3.62
180,CMP0003,60,11.67
181,CMP0004,1,65.93
182,CMP0004,2,23.07
183,CMP0004,3,6.85
184,CMP0004,4,158.06
185,CMP0004,5,61.91
186,CMP0004,6,30.02
187,CMP0004,7,54.62
188,CMP0004,8,85.65
189,CMP0004,9,42.43
190,CMP0004,10,41.19
191,CMP0004,11,83.14
192,CMP0004,12,25.35
193,CMP0004,13,15.52
194,CMP0004,14,18.79
195,CMP0004,15,41.26
196,CMP0004,16,74.07
197,CMP0004,17,135.68
198,CMP0004,18,37.66
199,CMP0004,19,52.25
200,CMP0004,20,6.3
201,CMP0004,21,55.77
202,CMP0004,22,8.17
203,CMP0004,23,84.4
204,CMP0004,24,104.85
205,CMP0004,25,133.85
206,CMP0004,26,10.55
207,CMP0004,27,55.03
208,CMP0004,28,28.09
209,CMP0004,29,27.41
210,CMP0004,30,48.33
211,CMP0004,31,15.35
212,CMP0004,32,17.22
213,CMP0004,33,74.81
214,CMP0004,34,18.87
215,CMP0004,35,91.49
216,CMP0004,36,5.76
217,CMP0004,37,44.23
218,CMP0004,38,68.58
219,CMP0004,39,57.2
220,CMP0004,40,45.73
221,CMP0004,41,125.73
222,CMP0004,42,71.28
223,CMP0004,43,43.1
224,CMP0004,44,14.84
225,CMP0004,45,9.74
226,CMP0004,46,68.36
227,CMP0004,47,23.25
228,CMP0004,48,85.57
229,CMP0004,49,105.45
230,CMP0004,50,50.2
231,CMP0004,51,71.17
232,CMP0004,52,16.93
233,CMP0004,53,101.35
234,CMP0004,54,51.55
235,CMP0004,55,24.22
236,CMP0004,56,26.4
237,CMP0004,57,65.42
238,CMP0004,58,58.2
239,CMP0004,59,24.56
240,CMP0004,60,3.39
241,CMP0005,1,21.69
242,CMP0005,2,3.6
243,CMP0005,3,9.92
244,CMP0005,4,7.02
245,CMP0005,5,3.34
246,CMP0005,6,2.88
247,CMP0005,7,17.91
248,CMP0005,8,11.48
249,CMP0005,9,14.67
250,CMP0005,10,12.54
251,CMP0005,11,6.75
252,CMP0005,12,1.29
253,CMP0005,13,6.09
254,CMP0005,14,3.24
255,CMP0005,15,33.98
256,CMP0005,16,-0.62
257,CMP0005,17,12.76
258,CMP0005,18,10.58
259,CMP0005,19,8.67
260,CMP0005,20,16.43
261,CMP0005,21,18.32
262,CMP0005,22,1.13
263,CMP0005,23,4.46
264,CMP0005,24,2.27
265,CMP0005,25,2.06
266,CMP0005,26,15.96
267,CMP0005,27,11.29
268,CMP0005,28,6.13
269,CMP0005,29,12.97
270,CMP0005,30,9.69
271,CMP0005,31,7.98
272,CMP0005,32,-0.28
273,CMP0005,33,1.25
274,CMP0005,34,4.67
275,CMP0005,35,8.3
276,CMP0005,36,33.52
277,CMP0005,37,9.28
278,CMP0005,38,30.97
279,CMP0005,39,17.02
280,CMP0005,40,16.42
281,CMP0005,41,11.38
282,CMP0005,42,10.88
283,CMP0005,43,7.04
284,CMP0005,44,-1.09
285,CMP0005,45,37.08
286,CMP0005,46,3.46
287,CMP0005,47,0.32
288,CMP0005,48,20.55
289,CMP0005,49,17.98
290,CMP0005,50,9.29
291,CMP0005,51,6.09
292,CMP0005,52,4.23
293,CMP0005,53,3.4
294,CMP0005,54,2.9
295,CMP0005,55,9.14
296,CMP0005,56,10.3
297,CMP0005,57,4.5
298,CMP0005,58,11.02
299,CMP0005,59,21.94
300,CMP0005,60,30.8
301,CMP0006,1,23.84
302,CMP0006,2,7.12
303,CMP0006,3,4.84
304,CMP0006,4,-0.24
305,CMP0006,5,38.21
306,CMP0006,6,12.62
307,CMP0006,7,4.63
308,CMP0006,8,26.54
309,CMP0006,9,8.81
310,CMP0006,10,7.6
311,CMP0006,11,23.61
312,CMP0006,12,9.82
313,CMP0006,13,1.77
314,CMP0006,14,8.75
315,CMP0006,15,6.31
316,CMP0006,16,2.11
317,CMP0006,17,9.71
318,CMP0006,18,18.63
319,CMP0006,19,10.02
320,CMP0006,20,-5.02
321,CMP0006,21,2.94
322,CMP0006,22,25.58
323,CMP0006,23,10.21
324,CMP0006,24,1.68
325,CMP0006,25,12.96
326,CMP0006,26,15.14
327,CMP0006,27,8.68
328,CMP0006,28,25.55
329,CMP0006,29,0.82
330,CMP0006,30,9.09
331,CMP0006,31,8.68
332,CMP0006,32,15.77
333,CMP0006,33,1.02
334,CMP0006,34,20.22
335,CMP0006,35,5.64
336,CMP0006,36,10.05
337,CMP0006,37,2.67
338,CMP0006,38,4.64
339,CMP0006,39,4.79
340,CMP0006,40,15.89
341,CMP0006,41,1.17
342,CMP0006,42,21.38
343,CMP0006,43,8.17
344,CMP0006,44,6.44
345,CMP0006,45,33.47
346,CMP0006,46,23.77
347,CMP0006,47,2.07
348,CMP0006,48,6.68
349,CMP0006,49,25.47
350,CMP0006,50,6.66
351,CMP0006,51,2.81
352,CMP0006,52,15.43
353,CMP0006,53,1.91
354,CMP0006,54,10.37
355,CMP0006,55,1.43
356,CMP0006,56,9.01
357,CMP0006,57,1.72
358,CMP0006,58,4.15
359,CMP0006,59,13.79
360,CMP0006,60,22.16
361,CMP0007,1,13.97
362,CMP0007,2,49.56
363,CMP0007,3,13.28
364,CMP0007,4,9.64
365,CMP0007,5,99.49
366,CMP0007,6,64.71
367,CMP0007,7,72.47
368,CMP0007,8,88.93
369,CMP0007,9,51.37
370,CMP0007,10,46.02
371,CMP0007,11,20.03
372,CMP0007,12,60.62
373,CMP0007,13,66.79
374,CMP0007,14,56.24
375,CMP0007,15,45.45
376,CMP0007,16,57.36
377,CMP0007,17,8.5
378,CMP0007,18,19.09
379,CMP0007,19,172.58
380,CMP0007,20,13.55
381,CMP0007,21,49.94
382,CMP0007,22,86.5
383,CMP0007,23,73.22
384,CMP0007,24,54.69
385,CMP0007,25,75.11
386,CMP0007,26,2.58
387,CMP0007,27,-3.46
388,CMP0007,28,67.81
389,CMP0007,29,50.32
390,CMP0007,30,12.35
391,CMP0007,31,67.88
392,CMP0007,32,6.63
393,CMP0007,33,45.43
394,CMP0007,34,-2.79
395,CMP0007,35,82.83
396,CMP0007,36,143.99
397,CMP0007,37,9.8
398,CMP0007,38,11.01
399,CMP0007,39,8.81
400,CMP0007,40,75.42
401,CMP0007,41,14.69
402,CMP0007,42,62.31
403,CMP0007,43,41.31
404,CMP0007,44,22.76
405,CMP0007,45,3.76
406,CMP0007,46,73.34
407,CMP0007,47,52.48
408,CMP0007,48,100.12
409,CMP0007,49,12.82
410,CMP0007,50,71.41
411,CMP0007,51,95.74
412,CMP0007,52,105.59
413,CMP0007,53,36.29
414,CMP0007,54,96.26
415,CMP0007,55,14.92
416,CMP0007,56,53.69
417,CMP0007,57,5.08
418,CMP0007,58,37.16
419,CMP0007,59,88.7
420,CMP0007,60,25.43
421,CMP0008,1,3.03
422,CMP0008,2,6.89
423,CMP0008,3,3.94
424,CMP0008,4,28.52
425,CMP0008,5,26.9
426,CMP0008,6,6.43
427,CMP0008,7,18.72
428,CMP0008,8,2.17
429,CMP0008,9,11.12
430,CMP0008,10,27.94
431,CMP0008,11,1.34
432,CMP0008,12,14.58
433,CMP0008,13,6.21
434,CMP0008,14,13.04
435,CMP0008,15,9.23
436,CMP0008,16,11.93
437,CMP0008,17,5.92
438,CMP0008,18,2.52
439,CMP0008,19,1.51
440,CMP0008,20,19.86
441,CMP0008,21,4.72
442,CMP0008,22,21.63
443,CMP0008,23,16.61
444,CMP0008,24,15.15
445,CMP0008,25,17.32
446,CMP0008,26,6.87
447,CMP0008,27,5.96
448,CMP0008,28,13.59
449,CMP0008,29,8.66
450,CMP0008,30,7.55
451,CMP0008,31,8.55
452,CMP0008,32,4.36
453,CMP0008,33,6.47
454,CMP0008,34,15.95
455,CMP0008,35,5.73
456,CMP0008,36,13.7
457,CMP0008,37,2.15
458,CMP0008,38,28.84
459,CMP0008,39,3.92
460,CMP0008,40,1.47
461,CMP0008,41,3.47
462,CMP0008,42,15.4
463,CMP0008,43,12.46
464,CMP0008,44,0.85
465,CMP0008,45,19.76
466,CMP0008,46,6.24
467,CMP0008,47,17.26
468,CMP0008,48,14.33
469,CMP0008,49,7.08
470,CMP0008,50,26.82
471,CMP0008,51,2.0
472,CMP0008,52,23.27
473,CMP0008,53,6.73
474,CMP0008,54,15.36
475,CMP0008,55,1.79
476,CMP0008,56,3.46
477,CMP0008,57,4.81
478,CMP0008,58,8.58
479,CMP0008,59,29.91
480,CMP0008,60,3.03
481,CMP0009,1,10.53
482,CMP0009,2,19.47
483,CMP0009,3,3.47
484,CMP0009,4,9.22
485,CMP0009,5,20.64
486,CMP0009,6,0.86
487,CMP0009,7,12.23
488,CMP0009,8,4.6
489,CMP0009,9,15.09
490,CMP0009,10,4.04
491,CMP0009,11,11.38
492,CMP0009,12,21.85
493,CMP0009,13,7.43
494,CMP0009,14,3.0
495,CMP0009,15,5.21
496,CMP0009,16,6.18
497,CMP0009,17,2.23
498,CMP0009,18,14.54
499,CMP0009,19,18.53
500,CMP0009,20,15.24
501,CMP0009,21,14.81
502,CMP0009,22,10.33
503,CMP0009,23,8.43
504,CMP0009,24,6.77
505,CMP0009,25,2.2
506,CMP0009,26,-1.73
507,CMP0009,27,20.08
508,CMP0009,28,4.06
509,CMP0009,29,15.17
510,CMP0009,30,6.23
511,CMP0009,31,2.52
512,CMP0009,32,0.78
513,CMP0009,33,7.41
514,CMP0009,34,9.9
515,CMP0009,35,2.64
516,CMP0009,36,0.54
517,CMP0009,37,7.95
518,CMP0009,38,0.67
519,CMP0009,39,18.92
520,CMP0009,40,2.78
521,CMP0009,41,4.81
522,CMP0009,42,14.65
523,CMP0009,43,3.83
524,CMP0009,44,11.13
525,CMP0009,45,1.58
526,CMP0009,46,34.38
527,CMP0009,47,4.92
528,CMP0009,48,6.93
529,CMP0009,49,8.69
530,CMP0009,50,5.47
531,CMP0009,51,21.56
532,CMP0009,52,8.48
533,CMP0009,53,14.17
534,CMP0009,54,3.54
535,CMP0009,55,5.38
536,CMP0009,56,13.69
537,CMP0009,57,2.84
538,CMP0009,58,1.31
539,CMP0009,59,11.04
540,CMP0009,60,6.3
541,CMP0010,1,6.13
542,CMP0010,2,2.72
543,CMP0010,3,13.78
544,CMP0010,4,1.57
545,CMP0010,5,-1.71
546,CMP0010,6,9.42
547,CMP0010,7,15.29
548,CMP0010,8,2.06
549,CMP0010,9,8.45
550,CMP0010,10,3.25
551,CMP0010,11,6.58
552,CMP0010,12,10.83
553,CMP0010,13,8.42
554,CMP0010,14,23.18
555,CMP0010,15,5.3
556,CMP0010,16,9.99
557,CMP0010,17,11.84
558,CMP0010,18,2.19
559,CMP0010,19,11.57
560,CMP0010,20,-0.16
561,CMP0010,21,0.49
562,CMP0010,22,24.95
563,CMP0010,23,12.88
564,CMP0010,24,19.8
565,CMP0010,25,1.64
566,CMP0010,26,5.36
567,CMP0010,27,15.79
568,CMP0010,28,2.74
569,CMP0010,29,6.29
570,CMP0010,30,1.84
571,CMP0010,31,10.47
572,CMP0010,32,2.36
573,CMP0010,33,6.52
574,CMP0010,34,5.23
575,CMP0010,35,2.18
576,CMP0010,36,9.16
577,CMP0010,37,4.5
578,CMP0010,38,15.51
579,CMP0010,39,3.86
580,CMP0010,40,15.56
581,CMP0010,41,7.14
582,CMP0010,42,2.24
583,CMP0010,43,2.68
584,CMP0010,44,21.32
585,CMP0010,45,4.94
586,CMP0010,46,21.74
587,CMP0010,47,8.96
588,CMP0010,48,3.1
589,CMP0010,49,4.8
590,CMP0010,50,10.02
591,CMP0010,51,5.12
592,CMP0010,52,11.3
593,CMP0010,53,14.39
594,CMP0010,54,11.3
595,CMP0010,55,6.81
596,CMP0010,56,2.62
597,CMP0010,57,6.61
598,CMP0010,58,4.92
599,CMP0010,59,0.85
600,CMP0010,60,15.61
601,CMP0011,1,4.74
602,CMP0011,2,2.1
603,CMP0011,3,1.25
604,CMP0011,4,-1.05
605,CMP0011,5,7.99
606,CMP0011,6,21.94
