SectorAverageID,Sector,PeriodID,AvgRevenue,AvgProfit,AvgMarketCap,AvgESGScore
1,Energy,1,1111.544,310.43199999999996,4.966,67.095
2,Energy,2,1213.478,376.37100000000004,5.1259999999999994,56.375
3,Energy,3,1065.376,304.58000000000004,3.439,56.733000000000004
4,Energy,4,1373.522,356.143,5.362,61.852999999999994
5,Energy,5,938.983,234.61399999999995,4.8759999999999994,61.55
6,Energy,6,886.412,223.58499999999998,4.514,59.386
7,Energy,7,939.741,248.779,5.154999999999999,63.487
8,Energy,8,1146.516,304.572,8.043,61.69500000000001
9,Energy,9,764.125,201.286,5.553,63.068000000000005
10,Energy,10,584.528,179.19300000000004,4.976000000000001,62.342
11,Energy,11,1032.161,279.9150000000001,6.549000000000001,64.701
12,Energy,12,1008.3209999999999,302.58500000000004,5.26,62.835
13,Energy,13,1266.845,252.06000000000003,5.743,60.338
14,Energy,14,1287.6200000000001,398.031,4.439,64.874
15,Energy,15,438.12299999999993,100.99300000000002,4.4590000000000005,67.15299999999999
16,Energy,16,1089.46,351.842,5.814,60.857000000000006
17,Energy,17,1560.783,398.9439999999999,4.904999999999999,60.414
18,Energy,18,944.1629999999999,220.517,6.904000000000001,57.541
19,Energy,19,1015.2850000000001,241.41200000000003,3.4160000000000004,64.514
20,Energy,20,944.618,265.16700000000003,7.24,67.567
21,Energy,21,1244.373,359.714,7.231,62.435
22,Energy,22,1216.4389999999999,301.799,5.727,59.322
23,Energy,23,1205.528,351.921,4.62,62.649
24,Energy,24,1175.094,290.16999999999996,5.77,57.461
25,Energy,25,1192.606,288.796,5.351000000000001,60.944
26,Energy,26,870.5710000000001,227.28400000000002,4.885,64.674
27,Energy,27,731.367,206.89700000000002,5.5969999999999995,64.94800000000001
28,Energy,28,1131.417,351.366,2.875,61.515
29,Energy,29,1147.951,263.282,7.872,63.423
30,Energy,30,1350.632,359.798,8.117,63.17100000000001
31,Energy,31,1021.658,322.97799999999995,3.681,64.436
32,Energy,32,742.67,166.662,6.112,68.728
33,Energy,33,1039.65,314.372,5.622,59.437
34,Energy,34,1512.778,372.73100000000005,3.4,61.761
35,Energy,35,1007.1020000000001,303.735,6.256,67.018
36,Energy,36,1114.361,308.72200000000004,6.207,66.524
37,Energy,37,676.506,213.04000000000002,5.085,62.736000000000004
38,Energy,38,1236.452,346.291,6.7379999999999995,62.794000000000004
39,Energy,39,823.2819999999999,232.81199999999998,3.7600000000000002,66.97
40,Energy,40,861.552,255.25499999999997,4.997,60.943999999999996
41,Energy,41,1087.812,282.41999999999996,4.615,62.604
42,Energy,42,1490.952,371.581,4.598999999999999,69.181
43,Energy,43,770.6600000000001,214.39900000000003,3.7649999999999997,62.028999999999996
44,Energy,44,1096.324,288.279,5.098,60.134
45,Energy,45,1289.911,354.171,5.953,67.221
46,Energy,46,911.3880000000001,263.625,4.974,66.16499999999999
47,Energy,47,1070.986,255.44700000000003,6.661,54.254
48,Energy,48,1330.8470000000002,346.884,6.108,61.918000000000006
49,Energy,49,923.6700000000001,289.037,7.18,63.227999999999994
50,Energy,50,1134.6789999999999,294.755,3.408,67.48400000000001
51,Energy,51,1108.583,308.096,6.1659999999999995,65.997
52,Energy,52,1373.547,432.041,5.743,65.071
53,Energy,53,881.2700000000001,260.58000000000004,6.141,59.708000000000006
54,Energy,54,1094.848,350.90200000000004,8.459999999999999,64.07000000000001
55,Energy,55,939.231,237.629,4.942,66.021
56,Energy,56,993.5600000000001,264.35,3.178,64.617
57,Energy,57,994.064,331.11699999999996,6.935,65.29400000000001
58,Energy,58,920.445,272.21400000000006,6.986,70.189
59,Energy,59,1119.326,281.02899999999994,6.5280000000000005,57.961
60,Energy,60,1231.346,384.139,6.981,61.952999999999996
61,Finance,1,710.0064285714286,175.31857142857143,4.497142857142857,60.14214285714286
62,Finance,2,1072.185,269.27071428571423,5.090000000000001,62.401428571428575
63,Finance,3,852.8635714285714,238.52714285714288,4.438571428571429,65.65857142857143
64,Finance,4,1296.912142857143,331.29499999999996,4.7749999999999995,62.18214285714286
65,Finance,5,909.5614285714286,218.49857142857144,4.628571428571428,66.42857142857143
66,Finance,6,795.8285714285714,222.16071428571428,5.192857142857143,59.46642857142857
67,Finance,7,1075.7378571428571,261.59785714285715,5.015,58.910000000000004
68,Finance,8,1231.1121428571428,379.2628571428572,7.293571428571428,65.73142857142857
69,Finance,9,822.6957142857143,232.67857142857142,6.052142857142857,60.97071428571429
70,Finance,10,1195.9335714285714,338.75357142857143,3.2807142857142857,64.01214285714285
71,Finance,11,1371.9014285714286,383.02857142857147,5.204285714285715,65.81428571428572
72,Finance,12,1044.8478571428573,342.9764285714286,5.364285714285714,59.95642857142857
73,Finance,13,817.1364285714286,203.04714285714286,4.314285714285714,64.87214285714286
74,Finance,14,1027.19,298.1164285714285,4.6450000000000005,65.17642857142857
75,Finance,15,954.2542857142856,273.4764285714285,4.422857142857143,62.09571428571429
76,Finance,16,1083.3671428571429,310.4871428571428,4.17,61.151428571428575
77,Finance,17,1076.9742857142858,290.58,5.631428571428572,66.54785714285714
78,Finance,18,1258.8528571428571,359.82,7.752142857142857,60.00571428571429
79,Finance,19,1051.902857142857,275.1371428571428,5.6207142857142856,56.49928571428571
80,Finance,20,985.8757142857143,302.7121428571428,5.052142857142857,65.75071428571428
81,Finance,21,811.1728571428572,212.12285714285716,5.107857142857142,61.69214285714286
82,Finance,22,990.7157142857143,233.3685714285714,6.780714285714287,65.48142857142857
83,Finance,23,1087.972857142857,286.0092857142857,4.362857142857143,62.021428571428565
84,Finance,24,1245.6028571428571,379.74357142857144,4.722142857142857,63.17857142857143
85,Finance,25,1219.1342857142859,303.46857142857147,6.052142857142857,66.96142857142857
86,Finance,26,1198.0771428571427,329.80785714285713,5.585714285714286,61.90571428571428
87,Finance,27,1399.7707142857143,356.1771428571428,4.694285714285714,63.29785714285715
88,Finance,28,923.9157142857142,240.35714285714286,6.963571428571428,58.78142857142858
89,Finance,29,1069.5642857142857,329.16142857142853,3.1614285714285715,65.08357142857143
90,Finance,30,1054.4971428571428,318.9578571428571,6.782857142857142,59.94428571428572
91,Finance,31,935.9157142857142,289.0957142857143,6.964999999999999,59.88642857142857
92,Finance,32,997.8857142857144,244.80500000000004,5.340000000000001,61.910000000000004
93,Finance,33,1002.2742857142857,282.77428571428567,6.2299999999999995,65.93214285714286
94,Finance,34,966.975,261.2678571428571,5.228571428571429,61.541428571428575
95,Finance,35,1158.777857142857,305.7785714285714,3.1371428571428575,63.277142857142856
96,Finance,36,1228.7257142857143,352.1257142857143,7.797142857142857,63.71785714285714
97,Finance,37,1356.9378571428572,314.3671428571428,6.193571428571429,62.35071428571428
98,Finance,38,1388.0028571428572,384.2285714285714,5.952857142857143,62.761428571428574
99,Finance,39,1008.1857142857143,285.025,7.992142857142857,64.86714285714285
100,Finance,40,988.1214285714285,327.5864285714285,7.3378571428571435,65.385
101,Finance,41,1047.1421428571427,265.44571428571425,6.871428571428572,60.36928571428571
102,Finance,42,884.5749999999999,297.45,5.675,64.60785714285714
103,Finance,43,1132.892857142857,312.54642857142863,6.048571428571429,58.56714285714286
104,Finance,44,1084.0428571428572,310.31928571428574,4.260714285714285,64.16571428571429
105,Finance,45,1310.2442857142858,396.9428571428572,6.945,61.92285714285715
106,Finance,46,933.5821428571428,266.84714285714284,4.319285714285714,65.8
107,Finance,47,1087.0021428571429,253.31142857142854,6.042142857142857,64.01142857142857
108,Finance,48,969.1735714285714,278.76642857142855,6.894285714285714,65.3
109,Finance,49,794.4628571428572,199.94214285714287,4.490714285714286,66.565
