PriceID,CompanyID,PeriodID,ClosingPrice,MarketCap
1,CMP0001,1,122.22,9.01
2,CMP0001,2,32.2,1.17
3,CMP0001,3,193.3,16.0
4,CMP0001,4,41.05,3.99
5,CMP0001,5,59.78,3.52
6,CMP0001,6,27.59,2.42
7,CMP0001,7,153.35,9.28
8,CMP0001,8,53.61,2.52
9,CMP0001,9,179.05,10.48
10,CMP0001,10,48.31,1.0
11,CMP0001,11,123.87,6.84
12,CMP0001,12,128.3,8.6
13,CMP0001,13,130.81,3.36
14,CMP0001,14,52.16,0.96
15,CMP0001,15,123.25,1.33
16,CMP0001,16,150.57,10.31
17,CMP0001,17,117.5,6.38
18,CMP0001,18,193.5,18.72
19,CMP0001,19,124.93,12.38
20,CMP0001,20,183.08,10.26
21,CMP0001,21,95.79,5.64
22,CMP0001,22,21.64,0.32
23,CMP0001,23,9.94,0.96
24,CMP0001,24,148.89,8.92
25,CMP0001,25,38.77,1.9
26,CMP0001,26,130.27,1.61
27,CMP0001,27,43.18,0.7
28,CMP0001,28,176.11,13.41
29,CMP0001,29,172.39,8.38
30,CMP0001,30,22.8,0.88
31,CMP0001,31,22.79,1.24
32,CMP0001,32,141.69,2.34
33,CMP0001,33,78.37,1.37
34,CMP0001,34,131.6,10.15
35,CMP0001,35,194.01,11.07
36,CMP0001,36,73.9,4.62
37,CMP0001,37,190.21,14.33
38,CMP0001,38,79.27,7.71
39,CMP0001,39,154.95,14.72
40,CMP0001,40,135.96,7.73
41,CMP0001,41,142.3,4.15
42,CMP0001,42,126.31,11.07
43,CMP0001,43,19.79,0.43
44,CMP0001,44,12.97,0.33
45,CMP0001,45,127.44,2.21
46,CMP0001,46,76.94,3.97
47,CMP0001,47,57.5,2.53
48,CMP0001,48,109.74,6.89
49,CMP0001,49,24.85,0.59
50,CMP0001,50,82.58,8.03
51,CMP0001,51,68.12,3.29
52,CMP0001,52,31.21,0.49
53,CMP0001,53,166.97,16.17
54,CMP0001,54,36.91,0.91
55,CMP0001,55,150.78,8.33
56,CMP0001,56,109.02,9.86
57,CMP0001,57,26.57,2.29
58,CMP0001,58,72.41,1.91
59,CMP0001,59,186.76,11.37
60,CMP0001,60,27.08,2.67
61,CMP0002,1,70.03,3.21
62,CMP0002,2,86.69,8.0
63,CMP0002,3,18.08,1.4
64,CMP0002,4,90.95,4.19
65,CMP0002,5,144.61,10.02
66,CMP0002,6,52.42,3.93
67,CMP0002,7,55.59,2.46
68,CMP0002,8,100.05,9.06
69,CMP0002,9,38.48,1.33
70,CMP0002,10,180.5,16.0
71,CMP0002,11,21.15,1.36
72,CMP0002,12,46.91,0.6
73,CMP0002,13,139.24,6.84
74,CMP0002,14,91.97,2.45
75,CMP0002,15,189.09,2.56
76,CMP0002,16,97.47,8.54
77,CMP0002,17,110.2,8.94
78,CMP0002,18,73.39,5.8
79,CMP0002,19,74.15,2.66
80,CMP0002,20,22.44,1.07
