EmployeeSnapshotID,CompanyID,PeriodID,EmployeeCount,AvgSalary
1,CMP0001,1,2676,58.57
2,CMP0001,2,4558,81.95
3,CMP0001,3,6169,49.57
4,CMP0001,4,7493,87.64
5,CMP0001,5,2262,81.64
6,CMP0001,6,4431,61.79
7,CMP0001,7,5796,62.03
8,CMP0001,8,2593,84.87
9,CMP0001,9,3773,95.47
10,CMP0001,10,6562,29.55
11,CMP0001,11,3139,76.8
12,CMP0001,12,7764,71.54
13,CMP0001,13,9804,62.23
14,CMP0001,14,7724,65.88
15,CMP0001,15,2982,74.53
16,CMP0001,16,4243,50.91
17,CMP0001,17,9750,87.57
18,CMP0001,18,3546,67.25
19,CMP0001,19,3563,84.2
20,CMP0001,20,7548,91.32
21,CMP0002,1,7377,63.69
22,CMP0002,2,3113,91.78
23,CMP0002,3,7756,29.5
24,CMP0002,4,3214,63.31
25,CMP0002,5,4428,95.34
26,CMP0002,6,3121,49.51
27,CMP0002,7,3818,73.98
28,CMP0002,8,8264,81.77
29,CMP0002,9,7220,87.99
30,CMP0002,10,4788,58.17
31,CMP0002,11,8423,76.48
32,CMP0002,12,2966,82.57
33,CMP0002,13,3124,74.9
34,CMP0002,14,7671,65.73
35,CMP0002,15,7181,67.82
36,CMP0002,16,9936,54.54
37,CMP0002,17,7968,53.21
38,CMP0002,18,7290,58.46
39,CMP0002,19,4850,67.71
40,CMP0002,20,6630,82.46
41,CMP0003,1,5944,73.4
42,CMP0003,2,3165,63.15
43,CMP0003,3,8219,69.71
44,CMP0003,4,6120,79.75
45,CMP0003,5,5467,71.15
46,CMP0003,6,3653,81.59
47,CMP0003,7,8948,50.55
48,CMP0003,8,10818,62.98
49,CMP0003,9,6003,97.91
50,CMP0003,10,4898,61.73
51,CMP0003,11,3558,80.57
52,CMP0003,12,8822,63.87
53,CMP0003,13,4915,92.13
54,CMP0003,14,11755,101.6
55,CMP0003,15,6533,65.0
56,CMP0003,16,10180,71.91
57,CMP0003,17,4760,48.17
58,CMP0003,18,9631,58.95
59,CMP0003,19,8751,73.61
60,CMP0003,20,11392,47.2
61,CMP0004,1,6972,66.84
62,CMP0004,2,5717,103.38
63,CMP0004,3,13683,64.62
64,CMP0004,4,3622,59.06
65,CMP0004,5,5328,41.85
66,CMP0004,6,10260,79.79
67,CMP0004,7,13655,76.52
68,CMP0004,8,9003,105.1
69,CMP0004,9,4214,76.16
70,CMP0004,10,6042,50.43
71,CMP0004,11,12953,33.18
72,CMP0004,12,11225,42.97
73,CMP0004,13,4289,121.2
74,CMP0004,14,13799,58.75
75,CMP0004,15,11441,77.6
76,CMP0004,16,16475,44.47
77,CMP0004,17,13409,71.92
78,CMP0004,18,8035,73.93
79,CMP0004,19,14973,59.65
80,CMP0004,20,10020,64.36
81,CMP0005,1,5584,116.19
82,CMP0005,2,2663,58.02
83,CMP0005,3,5438,76.87
84,CMP0005,4,4788,91.67
85,CMP0005,5,5615,0.38
86,CMP0005,6,6344,78.43
87,CMP0005,7,4074,56.21
88,CMP0005,8,5378,43.0
89,CMP0005,9,3871,62.74
