ESGID,CompanyID,PeriodID,EnvironmentalScore,SocialScore,GovernanceScore
1,CMP0001,1,54.78,45.61,55.43
2,CMP0001,2,39.45,12.21,43.71
3,CMP0001,3,42.27,42.99,47.08
4,CMP0001,4,91.67,78.87,52.19
5,CMP0001,5,26.25,61.48,46.15
6,CMP0001,6,27.38,76.99,48.22
7,CMP0001,7,54.45,54.28,65.65
8,CMP0001,8,41.98,25.1,42.11
9,CMP0001,9,67.37,40.96,46.72
10,CMP0001,10,56.79,51.68,52.15
11,CMP0001,11,24.9,51.15,53.02
12,CMP0001,12,71.08,82.85,41.19
13,CMP0001,13,63.1,36.61,65.5
14,CMP0001,14,70.46,100.0,46.76
15,CMP0001,15,67.86,41.4,52.32
16,CMP0001,16,65.74,81.5,57.35
17,CMP0001,17,69.03,37.21,41.84
18,CMP0001,18,35.55,74.54,50.42
19,CMP0001,19,61.11,46.07,58.56
20,CMP0001,20,65.86,56.03,58.72
21,CMP0002,1,67.71,81.62,59.88
22,CMP0002,2,70.29,22.75,45.28
23,CMP0002,3,70.19,82.27,58.29
24,CMP0002,4,67.57,72.32,38.0
25,CMP0002,5,66.07,28.46,68.44
26,CMP0002,6,46.1,53.81,17.59
27,CMP0002,7,38.55,63.1,59.1
28,CMP0002,8,92.0,15.96,48.48
29,CMP0002,9,50.66,42.56,46.45
30,CMP0002,10,59.69,57.35,62.78
31,CMP0002,11,76.48,44.54,59.49
32,CMP0002,12,77.37,70.83,56.24
33,CMP0002,13,49.84,67.28,63.58
34,CMP0002,14,38.28,26.85,42.82
35,CMP0002,15,57.6,80.42,57.71
36,CMP0002,16,63.36,55.25,50.98
37,CMP0002,17,74.39,52.78,59.76
38,CMP0002,18,65.13,92.52,59.5
39,CMP0002,19,87.47,60.91,39.03
40,CMP0002,20,60.08,55.94,45.5
41,CMP0003,1,58.03,86.02,51.16
42,CMP0003,2,72.34,72.56,45.66
43,CMP0003,3,71.67,87.57,36.2
44,CMP0003,4,48.16,53.49,38.99
45,CMP0003,5,45.21,52.86,39.65
46,CMP0003,6,62.77,42.59,42.64
47,CMP0003,7,45.34,66.53,53.11
48,CMP0003,8,34.08,41.91,42.27
49,CMP0003,9,59.8,34.26,48.1
50,CMP0003,10,43.13,42.48,46.18
51,CMP0003,11,60.27,43.46,57.55
52,CMP0003,12,54.2,0.18,45.41
53,CMP0003,13,54.02,75.13,44.23
54,CMP0003,14,52.55,56.79,54.88
55,CMP0003,15,58.82,72.42,46.74
56,CMP0003,16,46.41,71.46,58.92
57,CMP0003,17,58.53,58.64,52.48
58,CMP0003,18,69.3,46.11,45.73
59,CMP0003,19,65.13,19.43,64.96
60,CMP0003,20,53.25,63.84,52.5
61,CMP0004,1,48.11,100.0,55.24
62,CMP0004,2,30.65,29.1,46.64
63,CMP0004,3,45.91,34.66,55.17
64,CMP0004,4,52.97,52.11,44.26
65,CMP0004,5,51.6,31.45,52.04
66,CMP0004,6,60.83,32.42,44.75
67,CMP0004,7,44.38,41.86,40.63
68,CMP0004,8,26.65,67.12,37.2
69,CMP0004,9,48.55,48.29,63.46
70,CMP0004,10,41.9,39.43,51.96
71,CMP0004,11,57.09,87.41,65.7
72,CMP0004,12,40.83,26.87,40.77
73,CMP0004,13,89.49,67.15,34.81
74,CMP0004,14,40.6,91.25,57.08
75,CMP0004,15,26.45,28.61,47.74
76,CMP0004,16,56.44,59.15,52.72
77,CMP0004,17,65.8,45.69,58.87
78,CMP0004,18,47.2,46.21,64.47
79,CMP0004,19,63.34,69.27,50.47
80,CMP0004,20,73.69,44.54,45.8
81,CMP0005,1,31.89,74.69,47.86
82,CMP0005,2,26.45,56.48,44.82
83,CMP0005,3,47.48,83.41,44.29
84,CMP0005,4,44.56,66.68,55.43
85,CMP0005,5,31.14,44.65,52.24
86,CMP0005,6,53.6,61.11,59.33
87,CMP0005,7,62.86,51.66,51.47
88,CMP0005,8,50.37,56.8,57.53
89,CMP0005,9,43.98,46.07,51.94
90,CMP0005,10,55.51,44.48,48.69
91,CMP0005,11,43.9,34.58,57.08
92,CMP0005,12,31.59,88.2,58.98
93,CMP0005,13,46.56,61.85,54.57
94,CMP0005,14,34.54,54.0,53.75
95,CMP0005,15,49.79,45.95,25.76
96,CMP0005,16,86.03,54.55,55.25
97,CMP0005,17,50.56,90.95,56.41
98,CMP0005,18,77.18,62.16,53.93
99,CMP0005,19,64.25,41.97,45.16
100,CMP0005,20,33.08,66.29,44.98
101,CMP0006,1,69.71,23.76,70.02
102,CMP0006,2,82.15,82.6,43.74
103,CMP0006,3,49.93,51.87,60.62
104,CMP0006,4,52.98,61.93,49.53
105,CMP0006,5,40.76,38.23,55.21
106,CMP0006,6,58.93,54.26,57.28
107,CMP0006,7,58.79,57.79,54.53
108,CMP0006,8,69.19,33.93,43.76
109,CMP0006,9,67.44,46.02,50.67
110,CMP0006,10,59.04,61.58,53.21
111,CMP0006,11,74.46,80.8,47.39
112,CMP0006,12,50.42,28.54,66.42
113,CMP0006,13,55.13,83.91,31.76
114,CMP0006,14,71.38,60.62,51.04
115,CMP0006,15,55.79,16.76,53.97
116,CMP0006,16,50.98,61.4,34.07
117,CMP0006,17,80.46,49.32,54.01
118,CMP0006,18,55.58,79.95,43.27
119,CMP0006,19,64.65,79.49,66.23
120,CMP0006,20,85.17,43.93,55.69
121,CMP0007,1,39.33,59.68,34.44
122,CMP0007,2,46.09,89.54,50.96
123,CMP0007,3,59.44,76.83,56.09
124,CMP0007,4,38.76,59.51,44.73
125,CMP0007,5,36.65,32.93,28.47
126,CMP0007,6,43.42,78.33,55.68
127,CMP0007,7,44.7,54.5,58.18
128,CMP0007,8,57.62,56.08,31.98
129,CMP0007,9,38.1,50.73,64.91
130,CMP0007,10,26.99,73.25,55.0
131,CMP0007,11,64.84,43.47,24.09
132,CMP0007,12,35.09,54.38,30.4
133,CMP0007,13,49.4,84.42,47.91
134,CMP0007,14,71.16,79.29,52.77
135,CMP0007,15,50.94,47.69,51.85
136,CMP0007,16,54.24,40.84,42.18
137,CMP0007,17,69.67,64.12,71.65
138,CMP0007,18,41.08,29.37,32.62
139,CMP0007,19,45.03,51.66,52.83
140,CMP0007,20,48.58,53.28,58.13
141,CMP0008,1,75.53,61.57,59.0
