RecordID,CompanyID,PeriodID,Revenue,OperatingCost,NetProfit,Assets,Liabilities
1,CMP0001,1,173.17,110.66,62.52,279.87,208.92
2,CMP0001,2,179.27,126.92,52.35,373.31,240.69
3,CMP0001,3,202.09,129.87,72.22,329.42,256.8
4,CMP0001,4,198.99,121.1,77.88,660.37,332.51
5,CMP0001,5,184.92,123.49,61.42,583.87,316.87
6,CMP0001,6,224.31,177.84,46.47,369.68,200.88
7,CMP0001,7,225.71,162.07,63.64,392.56,269.02
8,CMP0001,8,210.7,128.07,82.62,584.22,307.15
9,CMP0001,9,224.09,183.27,40.81,696.32,330.49
10,CMP0001,10,211.07,127.01,84.06,532.2,301.74
11,CMP0001,11,218.83,147.76,71.07,452.9,187.84
12,CMP0001,12,221.48,170.1,51.38,669.59,331.48
13,CMP0001,13,257.31,155.45,101.86,649.5,318.64
14,CMP0001,14,209.24,173.92,35.33,681.02,342.67
15,CMP0001,15,200.87,138.06,62.81,592.96,449.96
16,CMP0001,16,247.88,155.01,92.86,700.75,281.72
17,CMP0001,17,248.8,202.1,46.7,700.44,439.4
18,CMP0001,18,231.57,184.95,46.61,580.14,365.93
19,CMP0001,19,236.25,198.85,37.41,809.7,600.15
20,CMP0001,20,242.91,180.36,62.55,411.57,265.88
21,CMP0002,1,217.78,177.88,39.9,724.45,437.96
22,CMP0002,2,225.42,140.55,84.87,598.85,248.15
23,CMP0002,3,197.48,149.24,48.24,329.93,138.79
24,CMP0002,4,218.74,146.06,72.69,520.16,224.39
25,CMP0002,5,254.04,194.35,59.69,523.28,409.18
26,CMP0002,6,205.4,129.2,76.2,327.0,136.13
27,CMP0002,7,256.46,194.59,61.86,407.93,224.3
28,CMP0002,8,212.81,158.85,53.96,719.39,453.35
29,CMP0002,9,233.65,144.35,89.3,499.53,368.63
30,CMP0002,10,236.78,189.63,47.15,488.73,230.18
31,CMP0002,11,228.5,179.99,48.51,687.57,303.39
32,CMP0002,12,232.9,173.13,59.77,643.66,372.92
33,CMP0002,13,239.75,170.32,69.44,785.29,424.34
34,CMP0002,14,230.27,185.48,44.8,670.67,290.09
35,CMP0002,15,261.13,163.93,97.19,648.96,262.53
36,CMP0002,16,254.27,207.78,46.49,495.11,388.81
37,CMP0002,17,278.6,198.82,79.78,767.56,486.42
38,CMP0002,18,238.71,164.32,74.4,636.73,274.49
39,CMP0002,19,226.37,188.61,37.76,731.67,305.9
40,CMP0002,20,281.94,188.44,93.51,454.7,339.16
41,CMP0003,1,232.16,178.28,53.88,635.25,345.11
42,CMP0003,2,303.35,248.5,54.86,699.83,317.45
43,CMP0003,3,229.14,162.55,66.6,758.07,408.83
44,CMP0003,4,300.48,214.78,85.7,1039.68,620.74
45,CMP0003,5,337.7,217.17,120.53,636.42,264.97
46,CMP0003,6,224.38,136.83,87.55,695.32,452.76
47,CMP0003,7,353.0,244.36,108.64,856.06,598.37
48,CMP0003,8,294.65,216.02,78.62,584.85,296.93
49,CMP0003,9,324.25,234.96,89.3,542.75,333.71
50,CMP0003,10,264.01,181.91,82.1,916.9,588.93
51,CMP0003,11,235.28,198.95,36.33,405.63,226.81
52,CMP0003,12,311.54,231.44,80.1,641.75,454.23
53,CMP0003,13,278.68,200.73,77.95,714.86,300.76
54,CMP0003,14,333.44,239.37,94.06,774.8,418.04
55,CMP0003,15,300.05,192.31,107.74,548.65,398.23
56,CMP0003,16,354.4,253.63,100.77,745.22,520.94
57,CMP0003,17,327.21,223.72,103.49,581.96,417.62
58,CMP0003,18,304.15,185.04,119.11,802.9,566.03
59,CMP0003,19,366.77,269.82,96.94,734.86,395.56
60,CMP0003,20,403.96,244.2,159.75,1310.54,1012.85
61,CMP0004,1,317.36,268.55,48.81,1008.5,453.69
62,CMP0004,2,341.58,205.34,136.24,740.2,413.97
63,CMP0004,3,352.36,255.32,97.04,823.77,630.96
64,CMP0004,4,326.45,277.23,49.22,817.55,521.72
65,CMP0004,5,344.72,273.66,71.05,829.59,505.85
66,CMP0004,6,346.83,243.54,103.29,537.86,248.74
67,CMP0004,7,370.16,288.94,81.23,1188.74,870.27
68,CMP0004,8,338.97,279.03,59.94,1062.62,570.34
69,CMP0004,9,394.87,312.3,82.57,702.95,525.38
70,CMP0004,10,331.6,220.34,111.26,589.83,432.92
71,CMP0004,11,432.49,281.81,150.68,658.24,299.34
72,CMP0004,12,355.57,217.52,138.05,651.61,453.01
73,CMP0004,13,371.61,284.62,86.99,1253.67,868.83
74,CMP0004,14,406.06,321.9,84.17,695.67,299.18
75,CMP0004,15,435.75,300.77,134.98,733.44,562.49
76,CMP0004,16,439.76,336.28,103.48,1268.51,938.29
77,CMP0004,17,384.58,319.62,64.96,1323.77,1029.5
78,CMP0004,18,410.78,258.85,151.93,679.39,460.97
79,CMP0004,19,440.87,290.2,150.67,682.82,510.77
80,CMP0004,20,485.5,367.47,118.04,1576.6,1251.24
81,CMP0005,1,145.65,112.13,33.51,282.04,219.99
82,CMP0005,2,170.83,144.83,26.0,335.4,260.64
83,CMP0005,3,176.12,148.34,27.78,575.48,443.75
84,CMP0005,4,180.53,118.42,62.11,464.68,296.08
85,CMP0005,5,158.02,105.07,52.95,465.65,278.62
86,CMP0005,6,176.13,141.99,34.14,386.72,259.57
87,CMP0005,7,203.17,156.45,46.72,556.13,389.9
88,CMP0005,8,205.3,165.89,39.41,516.31,207.84
89,CMP0005,9,203.43,149.59,53.84,696.95,374.09
90,CMP0005,10,204.03,140.06,63.97,559.41,234.0
91,CMP0005,11,172.42,146.43,25.99,405.59,235.47
92,CMP0005,12,229.05,191.88,37.17,412.78,236.49
93,CMP0005,13,208.98,144.64,64.34,674.75,397.62
94,CMP0005,14,220.87,139.77,81.1,345.67,265.59
95,CMP0005,15,198.78,148.19,50.59,405.11,291.29
96,CMP0005,16,194.67,154.75,39.91,307.43,182.06
97,CMP0005,17,200.85,138.12,62.73,314.61,135.73
98,CMP0005,18,210.89,160.09,50.8,614.33,253.49
99,CMP0005,19,223.25,179.57,43.69,536.85,352.94
100,CMP0005,20,213.89,163.55,50.33,533.94,332.19
101,CMP0006,1,196.32,154.25,42.08,461.55,248.49
102,CMP0006,2,190.42,134.33,56.09,391.06,249.08
103,CMP0006,3,183.12,154.34,28.78,340.96,252.91
104,CMP0006,4,163.02,113.75,49.27,560.61,282.13
105,CMP0006,5,199.68,136.63,63.05,630.53,360.89
106,CMP0006,6,239.79,192.17,47.62,640.42,478.59
107,CMP0006,7,216.78,147.2,69.58,545.08,227.1
108,CMP0006,8,150.63,115.49,35.14,268.01,110.42
109,CMP0006,9,224.09,187.37,36.72,642.36,384.69
110,CMP0006,10,232.43,177.75,54.69,531.75,351.22
111,CMP0006,11,207.78,141.65,66.12,589.08,425.99
112,CMP0006,12,215.04,148.72,66.31,492.94,334.31
113,CMP0006,13,235.64,171.96,63.68,579.29,237.66
114,CMP0006,14,230.11,179.38,50.73,784.92,319.69
115,CMP0006,15,207.59,149.77,57.82,417.99,214.83
116,CMP0006,16,241.94,152.54,89.41,450.57,302.99
117,CMP0006,17,230.77,140.97,89.8,638.38,498.3
118,CMP0006,18,261.93,216.1,45.84,578.05,285.99
119,CMP0006,19,208.84,163.78,45.06,673.64,327.86
120,CMP0006,20,207.76,150.46,57.3,722.1,328.25
121,CMP0007,1,80.84,55.68,25.16,132.48,80.5
122,CMP0007,2,111.21,75.98,35.23,315.72,251.84
123,CMP0007,3,84.11,61.73,22.38,142.43,82.63
124,CMP0007,4,81.46,69.09,12.37,273.22,168.3
125,CMP0007,5,85.65,59.1,26.55,143.49,111.18
126,CMP0007,6,96.8,82.09,14.71,310.03,149.87
127,CMP0007,7,86.86,67.21,19.65,190.41,150.47
128,CMP0007,8,103.6,72.48,31.11,185.72,101.59
129,CMP0007,9,102.49,67.03,35.46,280.75,185.32
130,CMP0007,10,97.32,65.77,31.55,165.65,112.12
131,CMP0007,11,101.02,65.53,35.49,225.84,127.75
132,CMP0007,12,96.09,70.52,25.58,185.5,75.1
133,CMP0007,13,93.63,63.77,29.85,278.51,164.43
134,CMP0007,14,95.42,63.33,32.09,303.59,126.1
135,CMP0007,15,95.91,75.23,20.68,242.12,162.73
136,CMP0007,16,119.67,82.26,37.4,364.9,242.49
137,CMP0007,17,114.52,79.65,34.87,218.89,98.18
138,CMP0007,18,126.48,101.56,24.92,355.79,160.55
139,CMP0007,19,106.88,69.4,37.48,349.91,230.35
140,CMP0007,20,111.14,88.26,22.88,312.56,147.21
141,CMP0008,1,373.85,279.49,94.37,940.88,488.34
142,CMP0008,2,322.79,213.58,109.21,953.16,759.41
143,CMP0008,3,415.12,306.59,108.53,627.02,441.67
144,CMP0008,4,362.73,251.04,111.69,869.55,598.97
145,CMP0008,5,360.77,274.4,86.38,587.95,371.58
146,CMP0008,6,365.33,226.24,139.09,590.78,315.29
147,CMP0008,7,386.85,289.97,96.89,1149.47,918.81
148,CMP0008,8,359.59,250.26,109.33,950.67,603.78
149,CMP0008,9,417.54,298.35,119.19,1029.64,466.83
150,CMP0008,10,420.45,266.5,153.95,1262.51,836.77
151,CMP0008,11,441.12,314.27,126.85,1346.91,573.98
152,CMP0008,12,402.32,308.15,94.16,1378.65,860.37
153,CMP0008,13,433.97,326.4,107.57,954.3,425.27
154,CMP0008,14,423.82,330.88,92.94,693.09,473.47
155,CMP0008,15,448.57,276.13,172.45,1132.64,818.41
156,CMP0008,16,396.08,289.08,107.0,756.41,568.17
157,CMP0008,17,446.02,359.28,86.74,1008.38,716.19
158,CMP0008,18,478.89,334.74,144.15,1594.77,977.93
159,CMP0008,19,409.61,290.86,118.75,1118.49,484.74
160,CMP0008,20,464.32,328.21,136.1,847.13,343.12
161,CMP0009,1,384.1,260.65,123.45,938.1,683.55
162,CMP0009,2,302.04,188.82,113.22,597.96,273.14
163,CMP0009,3,334.66,211.36,123.3,954.56,505.96
164,CMP0009,4,362.78,280.63,82.16,916.14,478.34
165,CMP0009,5,350.43,259.35,91.07,603.43,349.28
166,CMP0009,6,314.96,247.24,67.72,1050.76,538.0
167,CMP0009,7,360.73,265.2,95.53,610.74,303.39
168,CMP0009,8,325.65,268.9,56.75,1043.56,696.18
169,CMP0009,9,333.95,269.78,64.17,900.98,401.81
170,CMP0009,10,449.31,305.19,144.12,1064.5,755.32
171,CMP0009,11,334.55,232.89,101.66,828.11,547.29
172,CMP0009,12,364.02,261.41,102.61,579.27,264.15
173,CMP0009,13,367.42,221.15,146.26,712.11,295.3
174,CMP0009,14,372.28,231.47,140.81,1017.86,453.49
175,CMP0009,15,409.26,318.61,90.65,1111.47,582.13
176,CMP0009,16,366.29,230.25,136.03,830.62,483.83
177,CMP0009,17,428.61,258.25,170.36,1188.19,909.34
178,CMP0009,18,370.19,223.2,146.99,867.75,449.51
179,CMP0009,19,458.34,306.56,151.78,968.31,692.91
180,CMP0009,20,380.0,263.26,116.74,1026.81,700.53
181,CMP0010,1,341.28,239.72,101.56,724.34,485.92
182,CMP0010,2,365.6,307.47,58.13,829.34,344.67
183,CMP0010,3,395.85,297.18,98.67,1248.27,990.64
184,CMP0010,4,380.34,279.71,100.63,1150.06,843.52
185,CMP0010,5,308.11,229.58,78.53,547.95,316.5
186,CMP0010,6,402.17,245.27,156.9,985.75,608.41
187,CMP0010,7,398.46,266.55,131.91,1296.66,1008.3
