RnDID,CompanyID,PeriodID,RnDSpending
1,CMP0001,1,9.91
2,CMP0001,2,11.35
3,CMP0001,3,11.03
4,CMP0001,4,3.57
5,CMP0001,5,13.98
6,CMP0001,6,16.97
7,CMP0001,7,4.45
8,CMP0001,8,7.6
9,CMP0001,9,19.6
10,CMP0001,10,9.02
11,CMP0001,11,6.96
12,CMP0001,12,8.61
13,CMP0001,13,5.2
14,CMP0001,14,19.05
15,CMP0001,15,2.18
16,CMP0001,16,9.74
17,CMP0001,17,16.62
18,CMP0001,18,21.92
19,CMP0001,19,17.16
20,CMP0001,20,10.29
21,CMP0002,1,31.33
22,CMP0002,2,38.05
23,CMP0002,3,42.49
24,CMP0002,4,26.81
25,CMP0002,5,20.94
26,CMP0002,6,31.58
27,CMP0002,7,21.67
28,CMP0002,8,49.78
29,CMP0002,9,47.89
30,CMP0002,10,56.41
31,CMP0002,11,55.21
32,CMP0002,12,38.21
33,CMP0002,13,22.15
34,CMP0002,14,40.28
35,CMP0002,15,33.57
36,CMP0002,16,42.95
37,CMP0002,17,44.25
38,CMP0002,18,25.7
39,CMP0002,19,34.07
40,CMP0002,20,28.75
41,CMP0003,1,14.04
42,CMP0003,2,12.61
43,CMP0003,3,7.62
44,CMP0003,4,27.26
45,CMP0003,5,24.36
46,CMP0003,6,9.73
47,CMP0003,7,17.74
48,CMP0003,8,18.69
49,CMP0003,9,19.9
50,CMP0003,10,6.76
51,CMP0003,11,14.14
52,CMP0003,12,11.21
53,CMP0003,13,17.73
54,CMP0003,14,7.53
55,CMP0003,15,13.18
56,CMP0003,16,7.27
57,CMP0003,17,25.18
58,CMP0003,18,22.75
59,CMP0003,19,23.85
60,CMP0003,20,19.46
61,CMP0004,1,26.1
62,CMP0004,2,17.32
63,CMP0004,3,6.23
64,CMP0004,4,17.13
65,CMP0004,5,23.43
66,CMP0004,6,10.9
67,CMP0004,7,17.74
68,CMP0004,8,16.69
69,CMP0004,9,26.46
70,CMP0004,10,19.86
71,CMP0004,11,24.52
72,CMP0004,12,13.06
73,CMP0004,13,14.89
74,CMP0004,14,29.45
75,CMP0004,15,35.99
76,CMP0004,16,5.74
77,CMP0004,17,11.81
78,CMP0004,18,27.25
79,CMP0004,19,23.45
80,CMP0004,20,17.41
81,CMP0005,1,3.65
82,CMP0005,2,13.69
83,CMP0005,3,5.32
84,CMP0005,4,3.22
85,CMP0005,5,10.01
86,CMP0005,6,12.99
87,CMP0005,7,16.99
88,CMP0005,8,16.46
89,CMP0005,9,12.69
90,CMP0005,10,14.59
91,CMP0005,11,5.96
92,CMP0005,12,6.68
93,CMP0005,13,13.87
94,CMP0005,14,6.19
95,CMP0005,15,17.38
96,CMP0005,16,7.67
