PriceID,CompanyID,PeriodID,ClosingPrice,MarketCap
1,CMP0001,1,18.75,0.85
2,CMP0001,2,9.82,0.55
3,CMP0001,3,29.68,1.29
4,CMP0001,4,18.57,1.02
5,CMP0001,5,13.69,0.67
6,CMP0001,6,15.71,0.66
7,CMP0001,7,25.79,1.25
8,CMP0001,8,23.0,0.96
9,CMP0001,9,27.74,1.36
10,CMP0001,10,11.58,0.72
11,CMP0001,11,21.64,1.08
12,CMP0001,12,22.39,1.2
13,CMP0001,13,21.89,1.31
14,CMP0001,14,24.92,1.08
15,CMP0001,15,27.7,1.21
16,CMP0001,16,15.96,0.78
17,CMP0001,17,13.36,0.72
18,CMP0001,18,17.55,1.04
19,CMP0001,19,16.38,0.87
20,CMP0001,20,25.74,1.57
21,CMP0002,1,22.55,0.98
22,CMP0002,2,20.09,0.98
23,CMP0002,3,18.64,0.91
24,CMP0002,4,14.01,0.57
25,CMP0002,5,28.45,1.38
26,CMP0002,6,26.8,1.22
27,CMP0002,7,25.7,1.28
28,CMP0002,8,18.48,0.86
29,CMP0002,9,14.02,0.61
30,CMP0002,10,30.06,1.3
31,CMP0002,11,28.0,1.4
32,CMP0002,12,15.64,0.86
33,CMP0002,13,11.69,0.71
34,CMP0002,14,16.26,0.65
35,CMP0002,15,17.78,1.14
36,CMP0002,16,16.01,0.65
37,CMP0002,17,26.28,1.7
38,CMP0002,18,37.97,1.53
39,CMP0002,19,11.07,0.59
40,CMP0002,20,40.54,1.62
41,CMP0003,1,14.89,0.69
42,CMP0003,2,17.89,0.79
43,CMP0003,3,23.84,1.04
44,CMP0003,4,24.46,1.15
45,CMP0003,5,19.07,1.07
46,CMP0003,6,15.06,0.63
47,CMP0003,7,16.37,0.93
48,CMP0003,8,17.96,1.18
49,CMP0003,9,35.29,1.57
50,CMP0003,10,14.58,0.91
51,CMP0003,11,35.5,1.5
52,CMP0003,12,18.45,1.01
53,CMP0003,13,17.52,1.07
54,CMP0003,14,48.32,2.07
55,CMP0003,15,31.33,1.55
56,CMP0003,16,27.69,1.6
57,CMP0003,17,33.14,1.63
58,CMP0003,18,33.66,1.83
59,CMP0003,19,28.5,1.18
60,CMP0003,20,42.24,1.92
61,CMP0004,1,46.51,1.96
62,CMP0004,2,38.43,1.59
63,CMP0004,3,28.96,1.39
64,CMP0004,4,20.33,0.9
65,CMP0004,5,27.93,1.47
66,CMP0004,6,40.16,1.86
67,CMP0004,7,32.81,1.51
68,CMP0004,8,22.54,1.2
69,CMP0004,9,42.07,1.76
70,CMP0004,10,43.24,2.13
71,CMP0004,11,62.63,2.64
72,CMP0004,12,21.17,1.01
73,CMP0004,13,19.12,1.25
74,CMP0004,14,43.86,2.2
