date,product_code,customer_code,sold_quantity,fiscal_year
01-09-2017,A0118150101,70002017,51,2018
01-09-2017,A0118150101,70002018,77,2018
01-09-2017,A0118150101,70003181,17,2018
01-09-2017,A0118150101,70003182,6,2018
01-09-2017,A0118150101,70006157,5,2018
01-09-2017,A0118150101,70006158,7,2018
01-09-2017,A0118150101,70007198,29,2018
01-09-2017,A0118150101,70007199,34,2018
01-09-2017,A0118150101,70008169,22,2018
01-09-2017,A0118150101,70008170,5,2018
01-09-2017,A0118150101,70011193,10,2018
01-09-2017,A0118150101,70011194,4,2018
01-09-2017,A0118150101,70012042,0,2018
01-09-2017,A0118150101,70012043,0,2018
01-09-2017,A0118150101,70013125,1,2018
01-09-2017,A0118150101,70013126,1,2018
01-09-2017,A0118150101,70016178,1,2018
01-09-2017,A0118150101,70022085,20,2018
01-09-2017,A0118150101,70023031,4,2018
01-09-2017,A0118150101,80001019,10,2018
01-09-2017,A0118150101,80006154,10,2018
01-09-2017,A0118150101,80006155,28,2018
01-09-2017,A0118150101,80007195,80,2018
01-09-2017,A0118150101,90001021,1,2018
01-09-2017,A0118150101,90002001,42,2018
01-09-2017,A0118150101,90002002,40,2018
01-09-2017,A0118150101,90002003,54,2018
01-09-2017,A0118150101,90002005,77,2018
01-09-2017,A0118150101,90002006,30,2018
01-09-2017,A0118150101,90002007,67,2018
01-09-2017,A0118150101,90002009,47,2018
01-09-2017,A0118150101,90002010,58,2018
01-09-2017,A0118150101,90002011,21,2018
01-09-2017,A0118150101,90002013,17,2018
01-09-2017,A0118150101,90002014,16,2018
01-09-2017,A0118150101,90002015,32,2018
01-09-2017,A0118150101,90003179,15,2018
01-09-2017,A0118150101,90006153,9,2018
01-09-2017,A0118150101,90007197,48,2018
01-09-2017,A0118150101,90008165,9,2018
01-09-2017,A0118150101,90008166,12,2018
01-09-2017,A0118150101,90008167,10,2018
01-09-2017,A0118150101,90011185,3,2018
01-09-2017,A0118150101,90011186,2,2018
01-09-2017,A0118150101,90011187,2,2018
01-09-2017,A0118150101,90011189,5,2018
01-09-2017,A0118150101,90011190,10,2018
01-09-2017,A0118150101,90011191,14,2018
01-09-2017,A0118150101,90012033,0,2018
01-09-2017,A0118150101,90012034,0,2018
01-09-2017,A0118150101,90012035,0,2018
01-09-2017,A0118150101,90012037,0,2018
01-09-2017,A0118150101,90012038,0,2018
01-09-2017,A0118150101,90012039,0,2018
01-09-2017,A0118150101,90012041,0,2018
01-09-2017,A0118150101,90013117,1,2018
01-09-2017,A0118150101,90013118,2,2018
01-09-2017,A0118150101,90013119,2,2018
01-09-2017,A0118150101,90013121,3,2018
01-09-2017,A0118150101,90013122,3,2018
01-09-2017,A0118150101,90013123,3,2018
01-09-2017,A0118150101,90016173,1,2018
01-09-2017,A0118150101,90016175,1,2018
01-09-2017,A0118150101,90022071,21,2018
01-09-2017,A0118150101,90022073,18,2018
01-09-2017,A0118150101,90022074,39,2018
01-09-2017,A0118150101,90022075,19,2018
01-09-2017,A0118150101,90022077,10,2018
